model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_4b,Qwen3-4B,ate,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,390,0.4153846153846154,0.4897435897435897,-0.07435897435897436,-0.13846153846153847,-0.010256410256410256,0.989
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,nl_binary_score,strict_ccc,395,0.31645569620253167,0.17468354430379746,0.14177215189873418,0.10632911392405063,0.17721518987341772,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,nl_binary_score,scca,395,0.2911392405063291,0.17468354430379746,0.11645569620253164,0.08860759493670886,0.14936708860759493,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,nl_binary_score,wrong_flip,395,0.02531645569620253,0.0,0.02531645569620253,0.010126582278481013,0.04050632911392405,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,nl_binary_score,signed_ccc,395,0.26582278481012656,0.17468354430379746,0.09113924050632911,0.05569620253164557,0.1240506329113924,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,395,0.31645569620253167,0.34177215189873417,-0.02531645569620253,-0.06329113924050633,0.010189873417721462,0.921
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,395,0.2911392405063291,0.26329113924050634,0.027848101265822784,0.0,0.05822784810126582,0.027
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,395,0.02531645569620253,0.07848101265822785,-0.053164556962025315,-0.07848101265822785,-0.030379746835443037,1.0
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,395,0.26582278481012656,0.1848101265822785,0.0810126582278481,0.043037974683544304,0.1189873417721519,0.0
qwen3_4b,Qwen3-4B,backadj,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,395,0.34177215189873417,0.17468354430379746,0.1670886075949367,0.13164556962025317,0.20506329113924052,0.0
