eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,53,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1023,0.6001955034213099,0.5679374389051809
control_cv,54,qwen3_4b,Qwen3-4B,always_nl,Always NL,1200,0.5841666666666666,0.0
control_cv,54,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1200,0.6008333333333333,1.0
control_cv,54,qwen3_4b,Qwen3-4B,query_router,Query Router,1200,0.5958333333333333,0.24166666666666667
control_cv,54,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1200,0.6133333333333333,0.4558333333333333
control_cv,55,qwen3_4b,Qwen3-4B,always_nl,Always NL,1047,0.5749761222540593,0.0
control_cv,55,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1047,0.5988538681948424,1.0
control_cv,55,qwen3_4b,Qwen3-4B,query_router,Query Router,1047,0.5835721107927412,0.25405921680993315
control_cv,55,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1047,0.5854823304680038,0.30945558739255014
control_cv,56,qwen3_4b,Qwen3-4B,always_nl,Always NL,965,0.5906735751295337,0.0
control_cv,56,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,965,0.5854922279792746,1.0
control_cv,56,qwen3_4b,Qwen3-4B,query_router,Query Router,965,0.5875647668393782,0.8632124352331606
control_cv,56,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,965,0.5937823834196891,0.7264248704663212
control_cv,57,qwen3_4b,Qwen3-4B,always_nl,Always NL,1098,0.575591985428051,0.0
control_cv,57,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1098,0.5837887067395264,1.0
control_cv,57,qwen3_4b,Qwen3-4B,query_router,Query Router,1098,0.5837887067395264,0.4808743169398907
control_cv,57,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1098,0.5974499089253188,0.4426229508196721
control_cv,58,qwen3_4b,Qwen3-4B,always_nl,Always NL,1076,0.6022304832713755,0.0
control_cv,58,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1076,0.6087360594795539,1.0
control_cv,58,qwen3_4b,Qwen3-4B,query_router,Query Router,1076,0.6115241635687733,0.7444237918215614
control_cv,58,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1076,0.6115241635687733,0.44609665427509293
control_cv,59,qwen3_4b,Qwen3-4B,always_nl,Always NL,1028,0.603112840466926,0.0
control_cv,59,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1028,0.603112840466926,1.0
control_cv,59,qwen3_4b,Qwen3-4B,query_router,Query Router,1028,0.6050583657587548,0.5865758754863813
control_cv,59,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1028,0.6235408560311284,0.5642023346303502
control_cv,60,qwen3_4b,Qwen3-4B,always_nl,Always NL,1066,0.5947467166979362,0.0
control_cv,60,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1066,0.6135084427767354,1.0
control_cv,60,qwen3_4b,Qwen3-4B,query_router,Query Router,1066,0.6078799249530957,0.5225140712945591
control_cv,60,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1066,0.6135084427767354,0.49530956848030017
control_cv,61,qwen3_4b,Qwen3-4B,always_nl,Always NL,1009,0.5678889990089198,0.0
control_cv,61,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1009,0.5926660059464817,1.0
control_cv,61,qwen3_4b,Qwen3-4B,query_router,Query Router,1009,0.574826560951437,0.12685827552031714
control_cv,61,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1009,0.5926660059464817,0.32309217046580774
control_cv,62,qwen3_4b,Qwen3-4B,always_nl,Always NL,1148,0.563588850174216,0.0
control_cv,62,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1148,0.5696864111498258,1.0
control_cv,62,qwen3_4b,Qwen3-4B,query_router,Query Router,1148,0.5705574912891986,0.5113240418118467
control_cv,62,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1148,0.578397212543554,0.4416376306620209
control_cv,63,qwen3_4b,Qwen3-4B,always_nl,Always NL,1143,0.5756780402449694,0.0
